{'light': 'red', 'oncoming': None, 'right': None, 'left': None},21,9,set(['forward', 'red']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},20,10,set(['forward', 'green']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},19,11,set(['forward', 'red']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},18,12,set(['forward', 'green']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},17,13,set(['forward', 'green']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},16,14,set(['forward', 'green']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},15,15,set(['right', 'red']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},20,0,set(['right', 'green']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},19,1,set(['right', 'green']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},18,2,set(['forward', 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},17,3,set(['forward', 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},16,4,set(['forward', 'red']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},15,5,set(['forward', 'green']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},14,6,set(['forward', 'green']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},35,0,set(['red', 'left']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},34,1,set(['red', 'left']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},33,2,set(['red', 'left']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},32,3,set(['green', 'left']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},31,4,set(['forward', 'green']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},30,5,set(['forward', 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},29,6,set(['forward', 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},28,7,set(['forward', 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},27,8,set(['forward', 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},26,9,set(['forward', 'red']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},25,10,set(['forward', 'green']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},24,11,set(['forward', 'red']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},23,12,set(['forward', 'green']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},22,13,set(['green', 'left']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},21,14,set(['forward', 'green']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},20,15,set(['forward', 'green']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},30,0,set(['forward', 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},29,1,set(['forward', 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},28,2,set(['forward', 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},27,3,set(['forward', 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},26,4,set(['forward', 'red']),False
{'light': 'green', 'oncoming': None, 'right': 'right', 'left': None},25,5,set(['forward', 'green']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},24,6,set(['forward', 'green']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},23,7,set(['forward', 'red']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},22,8,set(['forward', 'green']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},21,9,set(['forward', 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},20,10,set(['forward', 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},19,11,set(['forward', 'red']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},18,12,set(['forward', 'green']),False
{'light': 'green', 'oncoming': 'left', 'right': None, 'left': None},17,13,set(['green', 'left']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},16,14,set(['forward', 'green']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},25,0,set(['right', 'green']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},24,1,set(['right', 'green']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},23,2,set(['forward', 'green']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},22,3,set(['forward', 'red']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},21,4,set(['forward', 'green']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},20,5,set(['forward', 'red']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},19,6,set(['forward', 'green']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},18,7,set(['forward', 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},17,8,set(['forward', 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},16,9,set(['forward', 'red']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},15,10,set(['forward', 'green']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},14,11,set(['right', 'green']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},20,0,set(['red', 'left']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},19,1,set(['red', 'left']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},18,2,set(['red', 'left']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},17,3,set(['red', 'left']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},16,4,set(['red', 'left']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},15,5,set(['green', 'left']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},14,6,set(['forward', 'green']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},13,7,set(['forward', 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},12,8,set(['forward', 'red']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},11,9,set(['forward', 'green']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},10,10,set(['forward', 'green']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},25,0,set(['right', 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},24,1,set(['forward', 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},23,2,set(['forward', 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},22,3,set(['forward', 'red']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},21,4,set(['forward', 'green']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},20,5,set(['forward', 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},19,6,set(['forward', 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},18,7,set(['forward', 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},17,8,set(['forward', 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},16,9,set(['forward', 'red']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},15,10,set(['forward', 'green']),False
{'light': 'red', 'oncoming': 'left', 'right': None, 'left': None},14,11,set(['forward', 'red']),False
{'light': 'red', 'oncoming': 'left', 'right': None, 'left': None},13,12,set(['forward', 'red']),False
{'light': 'red', 'oncoming': 'left', 'right': None, 'left': None},12,13,set(['forward', 'red']),False
{'light': 'red', 'oncoming': 'left', 'right': None, 'left': None},11,14,set(['forward', 'red']),False
{'light': 'green', 'oncoming': 'left', 'right': None, 'left': None},10,15,set(['forward', 'green']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},9,16,set(['green', 'left']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},20,0,set(['right', 'green']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},19,1,set(['forward', 'green']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},18,2,set(['right', 'green']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},17,3,set(['forward', 'red']),False
{'light': 'red', 'oncoming': None, 'right': 'forward', 'left': None},16,4,set(['forward', 'red']),False
{'light': 'green', 'oncoming': None, 'right': 'forward', 'left': None},15,5,set(['forward', 'green']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},25,0,set(['forward', 'green']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},24,1,set(['forward', 'green']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},23,2,set(['forward', 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},22,3,set(['forward', 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},21,4,set(['forward', 'red']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},20,5,set(['forward', 'green']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},19,6,set(['red', 'left']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},18,7,set(['red', 'left']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},17,8,set(['red', 'left']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},16,9,set(['green', 'left']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},15,10,set(['forward', 'green']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},25,0,set(['right', 'green']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},24,1,set(['right', 'green']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},23,2,set(['green', 'left']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},30,0,set(['right', 'green']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},29,1,set(['right', 'green']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},28,2,set(['forward', 'green']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},27,3,set(['forward', 'green']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},26,4,set(['green', 'left']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},25,5,set(['forward', 'green']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},35,0,set(['right', 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},34,1,set(['forward', 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},33,2,set(['forward', 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},32,3,set(['forward', 'red']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},31,4,set(['forward', 'green']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},30,5,set(['forward', 'green']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},29,6,set(['forward', 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},28,7,set(['forward', 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},27,8,set(['forward', 'red']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},26,9,set(['forward', 'green']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},25,10,set(['forward', 'green']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},24,11,set(['right', 'red']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},23,12,set(['forward', 'green']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},30,0,set(['right', 'green']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},29,1,set(['right', 'green']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},28,2,set(['forward', 'green']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},27,3,set(['forward', 'red']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},26,4,set(['forward', 'green']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},25,5,set(['forward', 'green']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},24,6,set(['green', 'left']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},23,7,set(['forward', 'green']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},22,8,set(['forward', 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},21,9,set(['forward', 'red']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},20,10,set(['forward', 'green']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},20,0,set(['forward', 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},19,1,set(['forward', 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},18,2,set(['forward', 'red']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},17,3,set(['forward', 'green']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},16,4,set(['forward', 'red']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},15,5,set(['forward', 'green']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},14,6,set(['right', 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},13,7,set(['forward', 'red']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},12,8,set(['forward', 'green']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},20,0,set(['right', 'green']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},19,1,set(['forward', 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},18,2,set(['forward', 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},17,3,set(['forward', 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},16,4,set(['forward', 'red']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},15,5,set(['forward', 'green']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},14,6,set(['right', 'green']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},13,7,set(['forward', 'red']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},12,8,set(['forward', 'green']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},35,0,set(['green', 'left']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},34,1,set(['forward', 'green']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},33,2,set(['forward', 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},32,3,set(['forward', 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},31,4,set(['forward', 'red']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},30,5,set(['forward', 'green']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},29,6,set(['forward', 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},28,7,set(['forward', 'red']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},27,8,set(['forward', 'green']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},26,9,set(['right', 'red']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},25,10,set(['forward', 'green']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},24,11,set(['forward', 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},23,12,set(['forward', 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},22,13,set(['forward', 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},21,14,set(['forward', 'red']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},20,15,set(['forward', 'green']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},40,0,set(['right', 'green']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},39,1,set(['forward', 'green']),False
{'light': 'green', 'oncoming': 'left', 'right': None, 'left': None},38,2,set(['forward', 'green']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},37,3,set(['forward', 'green']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},36,4,set(['forward', 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},35,5,set(['forward', 'red']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},34,6,set(['forward', 'green']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},33,7,set(['right', 'green']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},32,8,set(['forward', 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},31,9,set(['forward', 'red']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},30,10,set(['forward', 'green']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},29,11,set(['forward', 'green']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},40,0,set(['right', 'red']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},39,1,set(['forward', 'green']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': 'left'},38,2,set(['forward', 'green']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},37,3,set(['forward', 'green']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},36,4,set(['forward', 'green']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},35,5,set(['forward', 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},34,6,set(['forward', 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},33,7,set(['forward', 'red']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},32,8,set(['forward', 'green']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},31,9,set(['green', 'left']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},30,10,set(['forward', 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},29,11,set(['forward', 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},28,12,set(['forward', 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},27,13,set(['forward', 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},26,14,set(['forward', 'red']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},25,15,set(['forward', 'green']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},30,0,set(['forward', 'green']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},29,1,set(['red', 'left']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},28,2,set(['red', 'left']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},27,3,set(['red', 'left']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},26,4,set(['green', 'left']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},25,5,set(['forward', 'green']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},24,6,set(['forward', 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},23,7,set(['forward', 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},22,8,set(['forward', 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},21,9,set(['forward', 'red']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},20,10,set(['forward', 'green']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},19,11,set(['forward', 'red']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},18,12,set(['forward', 'green']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},17,13,set(['forward', 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},16,14,set(['forward', 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},15,15,set(['forward', 'red']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},14,16,set(['forward', 'green']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},30,0,set(['forward', 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},29,1,set(['forward', 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},28,2,set(['forward', 'red']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},27,3,set(['forward', 'green']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},26,4,set(['forward', 'green']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},25,5,set(['forward', 'green']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},24,6,set(['forward', 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},23,7,set(['forward', 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},22,8,set(['forward', 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},21,9,set(['forward', 'red']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},20,10,set(['forward', 'green']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},19,11,set(['right', 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},18,12,set(['forward', 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},17,13,set(['forward', 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},16,14,set(['forward', 'red']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},15,15,set(['forward', 'green']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},25,0,set(['green', 'left']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},24,1,set(['forward', 'green']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},23,2,set(['forward', 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},22,3,set(['forward', 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},21,4,set(['forward', 'red']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},20,5,set(['forward', 'green']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},19,6,set(['red', 'left']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},18,7,set(['red', 'left']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},17,8,set(['red', 'left']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},16,9,set(['green', 'left']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},15,10,set(['forward', 'green']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},30,0,set(['right', 'green']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},29,1,set(['right', 'red']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},28,2,set(['forward', 'green']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},27,3,set(['forward', 'green']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},26,4,set(['forward', 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},25,5,set(['forward', 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},24,6,set(['forward', 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},23,7,set(['forward', 'red']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},22,8,set(['forward', 'green']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},21,9,set(['right', 'green']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},20,10,set(['forward', 'green']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},19,11,set(['forward', 'green']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},40,0,set(['forward', 'green']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},39,1,set(['forward', 'green']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},38,2,set(['forward', 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},37,3,set(['forward', 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},36,4,set(['forward', 'red']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},35,5,set(['forward', 'green']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},34,6,set(['forward', 'green']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},33,7,set(['green', 'left']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},32,8,set(['forward', 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},31,9,set(['forward', 'red']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},30,10,set(['forward', 'green']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},29,11,set(['forward', 'red']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},28,12,set(['forward', 'green']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},27,13,set(['forward', 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},26,14,set(['forward', 'red']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},25,15,set(['forward', 'green']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},20,0,set(['forward', 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},19,1,set(['forward', 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},18,2,set(['forward', 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},17,3,set(['forward', 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},16,4,set(['forward', 'red']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},15,5,set(['forward', 'green']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': 'forward'},14,6,set(['right', 'green']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},13,7,set(['forward', 'green']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},12,8,set(['forward', 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},11,9,set(['forward', 'red']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},10,10,set(['forward', 'green']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},40,0,set(['right', 'green']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},39,1,set(['right', 'red']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},38,2,set(['forward', 'green']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},37,3,set(['forward', 'green']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},36,4,set(['forward', 'green']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},35,5,set(['right', 'green']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},34,6,set(['forward', 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},33,7,set(['forward', 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},32,8,set(['forward', 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},31,9,set(['forward', 'red']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},30,10,set(['forward', 'green']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': 'left'},29,11,set(['forward', 'green']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': 'left'},28,12,set(['forward', 'green']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},27,13,set(['forward', 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},26,14,set(['forward', 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},25,15,set(['forward', 'red']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},24,16,set(['forward', 'green']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},25,0,set(['green', 'left']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},24,1,set(['forward', 'green']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},23,2,set(['right', 'red']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},22,3,set(['forward', 'green']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},21,4,set(['forward', 'red']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},20,5,set(['forward', 'green']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},30,0,set(['green', 'left']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},29,1,set(['forward', 'red']),False
